Species,Tissue,Cell Type,Cancer,Cell Marker,Source,Supported Sources,Details,gene symbol,title,PMID,journal,reference paper type
Human,Peripheral blood,Myeloid-derived suppressor cell,Normal,"CD11b, CD11c, CD14, CD1d, CD220, CD226, CD24, CD244, CD328, CD33, CD39, CD42b, CD46, CD49a, CD49d, CD49e, CD49f, CD52, CD53, CD54, CD56, CD62L, CD62P, CD66a, CD66c, CD66e, CD69, CD71, CD81, CD84, CD85d, CD85h, CD85j, CD85k",Experiment,1,more details,"ITGAM, ITGAX, CD14, CD1D, INSR, CD226, CD24, CD244, SIGLEC7, CD33, ENTPD1, GP1BA, CD46, ITGA1, ITGA4, ITGA5, ITGA6, CD52, CD53, ICAM1, NCAM1, SELL, SELP, CEACAM1, CEACAM6, CEACAM5, CD69, TFRC, CD81, CD84, LILRB2, LILRA2, LILRB1, LILRB4ITGAM",CD1d is a novel cell-surface marker for human monocytic myeloid-derived suppressor cells with T cell suppression activity in peripheral blood after allogeneic hematopoietic stem cell transplantation.,29108995,Biochem Biophys Res Commun,Experiment
Human,Peripheral blood,Myeloid-derived suppressor cell,Normal,"CD11b, CD33, CD39",Experiment,1,more details,"ITGAM, CD33, ENTPD1",CD1d is a novel cell-surface marker for human monocytic myeloid-derived suppressor cells with T cell suppression activity in peripheral blood after allogeneic hematopoietic stem cell transplantation.,29108995,Biochem Biophys Res Commun,Experiment
Human,Peripheral blood,Myeloid cell,Normal,"CD11b, CD11c, CD123, CD15, CD16, CD33, CD45, CD66b, HLA-DR, LIN2",Experiment,1,more details,"ITGAM, ITGAX, IL3RA, FUT4, [FCGR3A, FCGR3B], CD33, PTPRC, CEACAM8, HLA-DR family, CASK",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,Myeloid cell,Normal,CD14,Experiment,1,more details,CD14,DNA Methylation Dynamics of Human Hematopoietic Stem Cell Differentiation.,27867036,Cell Stem Cell,Experiment
Human,Peripheral blood,Myeloid cell,Normal,CD15,Experiment,1,more details,FUT4,DNA Methylation Dynamics of Human Hematopoietic Stem Cell Differentiation.,27867036,Cell Stem Cell,Experiment
Human,Peripheral blood,Naive B cell,Normal,"CD19, CD27, CD38, IgD",Experiment,1,more details,"CD19, CD27, CD38, IgD family",Derailed B cell homeostasis in patients with mixed connective tissue disease.,23608739,Hum Immunol,Experiment
Human,Peripheral blood,Naive B cell,Normal,"CD19, CD27, IgD",Experiment,1,more details,"CD19, CD27, IgD family",Variations of B cell subpopulations in peripheral blood of healthy Mexican population according to age: Relevance for diagnosis of primary immunodeficiencies.,27780620,Allergol Immunopathol (Madr),Experiment
Human,Peripheral blood,Naive T cell,Normal,"CD27, CD4, CD45RA, CD62L, CD8",Experiment,1,more details,"CD27, CD4, PTPRC, SELL, CD8A",Accumulation of effector memory CD8+ T cells in nasal polyps.,24119592,Am J Rhinol Allergy,Experiment
Human,Peripheral blood,Naive T cell,Normal,CD45RA,Experiment,1,more details,PTPRC,In situ activation of helper T cells in the lung.,11447152,Infect Immun,Experiment
Human,Peripheral blood,Natural killer cell,Normal,"CD16, CD3, CD45, CD56",Experiment,1,more details,"[FCGR3A, FCGR3B], [CD3D, CD3E, CD3G], PTPRC, NCAM1",Analysis of sphingosine kinase activity in single natural killer cells from peripheral blood.,25786072,Integr Biol (Camb),Experiment
Human,Peripheral blood,Natural killer cell,Normal,"CD16, NKG2A, NKG2D",Experiment,1,more details,"[FCGR3A, FCGR3B], KLRC1, KLRK1",Phenotypic characteristics of natural killer cells in acute hepatitis.,23625228,J Microbiol,Experiment
Human,Peripheral blood,Natural killer cell,Normal,"CD3D, NKG7",Experiment,1,more details,"CD3D, NKG7",Visualization and analysis of single-cell RNA-seq data by kernel-based similarity learning.,28263960,Nat Methods,Experiment
Human,Peripheral blood,Natural killer cell,Normal,"CD49a, CXCR6",Experiment,1,more details,"ITGA1, CXCR6",IL-12 and IL-15 induce the expression of CXCR6 and CD49a on peripheral natural killer cells.,28952190,Immun Inflamm Dis,Experiment
Human,Peripheral blood,Neutrophil,Normal,"CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR",Experiment,1,more details,"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,Neutrophil,Normal,CD15,Experiment,1,more details,FUT4,Preeclampsia activates circulating immune cells with engagement of the NF-kappaB pathway.,16836616,Am J Reprod Immunol,Experiment
Human,Peripheral blood,Neutrophil,Normal,"FMLP, GP110",Experiment,1,more details,"FPR1, CD68",Neutrophil surface protein markers as indicators of defective chemotaxis in LJP.,2319438,J Periodontol,Experiment
Human,Peripheral blood,Non-classical monocyte,Normal,"CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR",Experiment,1,more details,"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,Plasma cell,Normal,CD117,Experiment,1,more details,KIT,C-kit receptor (CD117) expression on plasma cells in monoclonal gammopathies.,15512818,Leuk Lymphoma,Experiment
Human,Peripheral blood,Plasma cell,Normal,"CD19, CD27, CD38, IgD",Experiment,1,more details,"CD19, CD27, CD38, IgD family",Derailed B cell homeostasis in patients with mixed connective tissue disease.,23608739,Hum Immunol,Experiment
Human,Peripheral blood,Plasma cell,Normal,"CD229, CD319, CD54",Experiment,1,more details,"LY9, LAIR1, ICAM1","Utility of CD54, CD229, and CD319 for the identification of plasma cells in patients with clonal plasma cell diseases.",26130131,Cytometry B Clin Cytom,Experiment
Human,Peripheral blood,Plasma cell,Normal,CD27,Experiment,1,more details,CD27,Plasma cell generation from B-lymphocytes via CD27/CD70 interaction.,10706444,Leuk Lymphoma,Experiment
Human,Peripheral blood,Plasmablast,Normal,"CD19, CD24, CD38",Experiment,1,more details,"CD19, CD24, CD38",Variations of B cell subpopulations in peripheral blood of healthy Mexican population according to age: Relevance for diagnosis of primary immunodeficiencies.,27780620,Allergol Immunopathol (Madr),Experiment
Human,Peripheral blood,Platelet,Normal,CD41,Experiment,1,more details,ITGA2B,"Bone marrow stromal cells transduced with a thrombopoietin, interleukin-6, and interleukin-11 syncretic gene induce cord mononuclear cells to generate platelets in vitro.",25251668,Transfusion,Experiment
Human,Peripheral blood,Regulatory B cell,Normal,"CD19, CD1d",Experiment,1,more details,"CD19, CD1D",Role of regulatory B cells in chronic intestinal inflammation: association with pathogenesis of Crohn's disease.,24390063,Inflamm Bowel Dis,Experiment
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,"CD101, CD25, CD4",Experiment,1,more details,"CD101, IL2RA, CD4",CD101 expression and function in normal and rheumatoid arthritis-affected human T cells and monocytes/macrophages.,21159825,J Rheumatol,Experiment
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,CD122,Experiment,1,more details,IL2RB,The levels of CD4+CD25+ regulatory T cells in paediatric patients with allergic rhinitis and bronchial asthma.,17349011,Clin Exp Immunol,Experiment
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,"CD25, CD3, CD4, FOXP3",Experiment,1,more details,"IL2RA, [CD3D, CD3E, CD3G], CD4, FOXP3",Intracellular Cytokine Detection by Flow Cytometry in Surface Marker-Defined Human Peripheral Blood Mononuclear T Cells.,28777444,Curr Protoc Toxicol,Experiment
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,"CD25, CD4, FOXP3",Experiment,1,more details,"IL2RA, CD4, FOXP3",Relation of circulating T cell profiles to airway inflammation and asthma control in asthmatic pregnancy.,22982718,Acta Physiol Hung,Experiment
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,"FCRL3, TIGIT",Experiment,1,more details,"FCRL3, TIGIT",Coexpression of TIGIT and FCRL3 identifies Helios+ human memory regulatory T cells.,25762785,J Immunol,Experiment
Human,Peripheral blood,Responder T cell,Normal,"CD101, CD25, CD4",Experiment,1,more details,"CD101, IL2RA, CD4",CD101 expression and function in normal and rheumatoid arthritis-affected human T cells and monocytes/macrophages.,21159825,J Rheumatol,Experiment
Human,Peripheral blood,Suppressive monocyte,Normal,"CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR",Experiment,1,more details,"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,Suppressor T cell,Normal,"CD11b, CD4, CD62L, CD8",Experiment,1,more details,"ITGAM, CD4, SELL, CD8A",T lymphocyte subsets in the peripheral blood in patients with primary biliary cirrhosis.,2589983,Arerugi,Experiment
Human,Peripheral blood,Suppressor T cell,Normal,Leu-2a,Experiment,1,more details,CD8A,Immunocytochemical analysis of cellular infiltrates in human appendicitis.,11193739,Surg Today,Experiment
Human,Peripheral blood,Switched memory B cell,Normal,"CD19, CD27, IgD",Experiment,1,more details,"CD19, CD27, IgD family",Derailed B cell homeostasis in patients with mixed connective tissue disease.,23608739,Hum Immunol,Experiment
Human,Peripheral blood,T cell,Normal,"CCR7, CD127, CD25, CD27, CD272, CD28, CD3, CD4, CD45RA, CD45RO, CD62L, CD8, CTLA4, PD-1, TIM3",Experiment,1,more details,"CCR7, IL7R, IL2RA, CD27, BTLA, CD28, [CD3D, CD3E, CD3G], CD4, PTPRC, PTPRC, SELL, CD8A, CTLA4, PDCD1, HAVCR2",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,T cell,Normal,CD3,Experiment,1,more details,"CD3D, CD3E, CD3G",Peripheral blood and tumor infiltrating lymphocytes in non-small cell lung cancer: analysis at the population and clonal level.,2175060,Tumori,Experiment
Human,Peripheral blood,T helper cell,Normal,"CD3, CD4",Experiment,1,more details,"[CD3D, CD3E, CD3G], CD4",Intracellular Cytokine Detection by Flow Cytometry in Surface Marker-Defined Human Peripheral Blood Mononuclear T Cells.,28777444,Curr Protoc Toxicol,Experiment
Human,Peripheral blood,T helper cell,Normal,"CD4, CD62L",Experiment,1,more details,"CD4, SELL",T lymphocyte subsets in the peripheral blood in patients with primary biliary cirrhosis.,2589983,Arerugi,Experiment
Human,Peripheral blood,T helper cell,Normal,Leu-3a,Experiment,1,more details,CD4,Immunocytochemical analysis of cellular infiltrates in human appendicitis.,11193739,Surg Today,Experiment
Human,Peripheral blood,T helper1 (Th1) cell,Normal,"CD3, CD4, IFN-gamma",Experiment,1,more details,"[CD3D, CD3E, CD3G], CD4, IFNG",Intracellular Cytokine Detection by Flow Cytometry in Surface Marker-Defined Human Peripheral Blood Mononuclear T Cells.,28777444,Curr Protoc Toxicol,Experiment
Human,Peripheral blood,T helper1 (Th1) cell,Normal,CXCR3,Experiment,1,more details,CXCR3,Relation of circulating T cell profiles to airway inflammation and asthma control in asthmatic pregnancy.,22982718,Acta Physiol Hung,Experiment
Human,Peripheral blood,T helper1 (Th1) cell,Normal,IFN-gamma,Experiment,1,more details,IFNG,Imbalance of Th17 to Th1 cells in Behcet's disease.,20868565,Clin Exp Rheumatol,Experiment
Human,Peripheral blood,T helper17 (Th17) cell,Normal,"CCR6, CD146",Experiment,1,more details,"CCR6, MCAM",Coexpression of CCR6 and CD146 (MCAM) is a marker of effector memory T-helper 17 cells.,22486269,J Dermatol,Experiment
Human,Peripheral blood,T helper17 (Th17) cell,Normal,"CD3, CD4, IL17Ra",Experiment,1,more details,"[CD3D, CD3E, CD3G], CD4, IL17RA",Intracellular Cytokine Detection by Flow Cytometry in Surface Marker-Defined Human Peripheral Blood Mononuclear T Cells.,28777444,Curr Protoc Toxicol,Experiment
Human,Peripheral blood,T helper17 (Th17) cell,Normal,IL-17,Experiment,1,more details,IL17A,Imbalance of Th17 to Th1 cells in Behcet's disease.,20868565,Clin Exp Rheumatol,Experiment
Human,Peripheral blood,T helper2 (Th2) cell,Normal,CCR4,Experiment,1,more details,CCR4,Relation of circulating T cell profiles to airway inflammation and asthma control in asthmatic pregnancy.,22982718,Acta Physiol Hung,Experiment
Human,Peripheral blood,T helper2 (Th2) cell,Normal,"CD3, CD4, IL-4",Experiment,1,more details,"[CD3D, CD3E, CD3G], CD4, IL4",Intracellular Cytokine Detection by Flow Cytometry in Surface Marker-Defined Human Peripheral Blood Mononuclear T Cells.,28777444,Curr Protoc Toxicol,Experiment
Human,Peripheral blood,T helper2 (Th2) cell,Normal,IL-4,Experiment,1,more details,IL4,Imbalance of Th17 to Th1 cells in Behcet's disease.,20868565,Clin Exp Rheumatol,Experiment
Human,Peripheral blood,Transitional B cell,Normal,"CD19, CD24, CD38",Experiment,1,more details,"CD19, CD24, CD38",Variations of B cell subpopulations in peripheral blood of healthy Mexican population according to age: Relevance for diagnosis of primary immunodeficiencies.,27780620,Allergol Immunopathol (Madr),Experiment
Human,Peripheral blood,Transitional B cell,Normal,"CD19, CD27, CD38, IgD",Experiment,1,more details,"CD19, CD27, CD38, IgD family",Derailed B cell homeostasis in patients with mixed connective tissue disease.,23608739,Hum Immunol,Experiment
Human,Peripheral blood,Circulating stem like cell,Oral Squamous Cell Carcinoma,"CD44v6, NANOG",Experiment,1,more details,"CD44, NANOG",Circulating tumor stem like cells in oral squamous cell carcinoma: An unresolved paradox.,27865367,Oral Oncol,Experiment
Human,Peripheral blood,Cancer stem cell,Prostate Cancer,CD44,Experiment,1,more details,CD44,On-chip immunoelectrophoresis of extracellular vesicles released from human breast cancer cells.,25928805,PLoS One,Experiment
Human,Peripheral blood,Cancer cell,Testicular Germ Cell Tumor (circulating),"EpCAM, OCT3/4, SALL4",Experiment,1,more details,"EPCAM, POU5F1, SALL4",Circulating tumor cells in patients with testicular germ cell tumors.,24634372,Clin Cancer Res,Experiment
Human,Peripheral blood,M1 macrophage,Normal,"CCR7, CD127, CD16, CD32, CD62, CD64, CD80, CD86, CXCL10, IL-15R, IL-17R, IL-1R-1, IL-2R, TLR2, TLR4",Review,1,more details,"CCR7, IL7R, [FCGR3A, FCGR3B], [FCGR2A, FCGR2B, FCGR2C], [SELE, SELP, SELL], FCGR1A, CD80, CD86, CXCL10, IL15RA, IL17RA, IL1R1, IL2RA, TLR2, TLR4",Giant cells around bone biomaterials: Osteoclasts or multi-nucleated giant cells?,27667014,Acta Biomater,Review
Human,Peripheral blood,M2 macrophage,Normal,"CD163, CD206, CD23, CD36, IL-1, C-type lectin-like receptor dectin-1, CD209, DCIR, CLACSF13, FIZZ1, M60, CD184, TRAIL",Review,1,more details,"CD163, MRC1, FCER2, CD36, [IL1B, IL1A], NA, CD209, CLEC4A, NA, RETNLB, NA, CXCR4, TNFSF10",Giant cells around bone biomaterials: Osteoclasts or multi-nucleated giant cells?,27667014,Acta Biomater,Review
,,,,,,,,,,,,
Species,Tissue,Cell Type,Cancer,Cell Marker,Source,Supported Sources,Details,gene symbol,evidence URL,Company name,reference paper type,
Human,Peripheral blood,Basophil,Normal,"CD117, CD11b, CD123, CD15, CD203c",Company,1,more details,"KIT, ITGAM, IL3RA, FUT4, ENPP3",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/granulocytes-human.html,miltenyibiotec,Company,
Human,Peripheral blood,CD4+ T helper cell,Normal,"CD3, CD4, CD45",Company,1,more details,"[CD3D, CD3E, CD3G], CD4, PTPRC",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/pan-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,CD4+CD25+ regulatory T cell,Normal,"CD25, CD3, CD4, CD45",Company,1,more details,"IL2RA, [CD3D, CD3E, CD3G], CD4, PTPRC",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/pan-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,CD8+ cytotoxic T cell,Normal,"CD3, CD8",Company,1,more details,"[CD3D, CD3E, CD3G], CD8A",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/pan-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,Effector regulatory T (Treg) cell,Normal,"CD25, CD4, CD49d",Company,1,more details,"IL2RA, CD4, ITGA4",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/regulatory-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,Eosinophil,Normal,"CD11b, CD15, CD16, CD193, CD66b, SIGLEC8",Company,1,more details,"ITGAM, FUT4, [FCGR3A, FCGR3B], CCR3, CEACAM8, SIGLEC8",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/granulocytes-human.html,miltenyibiotec,Company,
Human,Peripheral blood,Induced regulatory T (Treg) cell,Normal,"CD127, CD25, CD4",Company,1,more details,"IL7R, IL2RA, CD4",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/regulatory-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,Naive regulatory T (Treg) cell,Normal,"CD127, CD25, CD4, CD45RA",Company,1,more details,"IL7R, IL2RA, CD4, PTPRC",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/regulatory-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,Natural killer T (NKT) cell,Normal,"CD16, CD3, CD45, CD56, Granzyme, NK1.1",Company,1,more details,"[FCGR3A, FCGR3B], [CD3D, CD3E, CD3G], PTPRC, NCAM1, Granzyme family, KLRB1",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/pan-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,Natural regulatory T (Treg) cell,Normal,"CD127, CD25, CD4, HELIOS",Company,1,more details,"IL7R, IL2RA, CD4, IKZF2",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/regulatory-t-cells-human.html,miltenyibiotec,Company,
Human,Peripheral blood,Neutrophil,Normal,"CD11b, CD15, CD16, CD49d, CD66b",Company,1,more details,"ITGAM, FUT4, [FCGR3A, FCGR3B], ITGA4, CEACAM8",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/granulocytes-human.html,miltenyibiotec,Company,
Human,Peripheral blood,T cell,Normal,"CD2, CD3, CD45, CD5, CD6",Company,1,more details,"CD2, [CD3D, CD3E, CD3G], PTPRC, CD5, CD6",https://www.miltenyibiotec.com/CN-en/resources/macs-handbook/human-cells-and-organs/human-cell-types/pan-t-cells-human.html,miltenyibiotec,Company,
